module,key,old_zh,proposed_translation,action
BACnet,mod.bacnet,BACNET的數據源和發布者,BACNET的資料來源和發布者,will_replace
BACnet,mod.bacnet.dsconn,設備ID：{0},設備ID：{0},no_change
BACnet,mod.bacnet.id,本地設備ID,本地設備ID,no_change
BACnet,mod.bacnet.sendingWhoIs,發送什麼...,發送什麼...,no_change
BACnet,mod.bacnet.getDetails,獲取詳細信息,取得詳細資訊,will_replace
BACnet,mod.bacnet.exportObjectList,導出對象列表,導出對象列表,no_change
BACnet,mod.bacnet.addPoint,添加點,新增點,will_replace
BACnet,mod.bacnet.presentValue,現值,目前數值,will_replace
BACnet,mod.bacnet.listenerStopped,聽眾停了下來,監聽器停了下來,will_replace
BACnet,mod.bacnet.device,裝置,裝置,no_change
BACnet,mod.bacnet.deviceId,設備ID,設備ID,no_change
BACnet,mod.bacnet.strict,嚴格的設備比較,嚴格的設備比較,no_change
BACnet,mod.bacnet.localNetworkNumber,本地網絡號,本地網路號,will_replace
BACnet,mod.bacnet.timeout,超時（MS）,逾時（MS）,will_replace
BACnet,mod.bacnet.segmentTimeout,細分超時（MS）,細分逾時（MS）,will_replace
BACnet,mod.bacnet.segmentWindow,段窗口,段窗口,no_change
BACnet,mod.bacnet.retries,重試,重試,no_change
BACnet,mod.bacnet.covLease,COV租賃時間（分鐘）,COV租賃時間（分鐘）,no_change
BACnet,mod.bacnet.discovery,BACNET發現,BACNET發現,no_change
BACnet,mod.bacnet.sendWhoIs,發送whois,發送whois,no_change
BACnet,mod.bacnet.objectList,遠程設備對象列表,遠端設備對象列表,will_replace
BACnet,mod.bacnet.sendObjList,發送對象列表請求,發送對象列表請求,no_change
BACnet,mod.bacnet.gettingDeviceDetails,獲取設備詳細信息...,取得設備詳細資訊...,will_replace
BACnet,mod.bacnet.remoteDeviceNetworkNumber,網絡號,網路號,will_replace
BACnet,mod.bacnet.remoteDeviceMac,蘋果,蘋果,no_change
BACnet,mod.bacnet.remoteDeviceInstanceNumber,設備實例號,設備實體號,will_replace
BACnet,mod.bacnet.modelName,模型名稱,模型名稱,no_change
BACnet,mod.bacnet.objectName,對象名稱,對象名稱,no_change
BACnet,mod.bacnet.address,地址,地址,no_change
BACnet,mod.bacnet.systemStatus,地位,地位,no_change
BACnet,mod.bacnet.objectType,對像類型,對像類型,no_change
BACnet,mod.bacnet.objectDescription,對象描述,對象描述,no_change
