module,key,applied_translation,status,file,backup
BACnet,mod.bacnet,BACNET的資料來源和發布者,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.dsconn,設備ID：{0},applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.id,本地設備ID,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.sendingWhoIs,發送什麼...,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.getDetails,取得詳細資訊,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.exportObjectList,導出對象列表,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.addPoint,新增點,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.presentValue,目前數值,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.listenerStopped,監聽器停了下來,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.device,裝置,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.deviceId,設備ID,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.strict,嚴格的設備比較,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.localNetworkNumber,本地網路號,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.timeout,逾時（MS）,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.segmentTimeout,細分逾時（MS）,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.segmentWindow,段窗口,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.retries,重試,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.covLease,COV租賃時間（分鐘）,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.discovery,BACNET發現,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.sendWhoIs,發送whois,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
BACnet,mod.bacnet.objectList,遠端設備對象列表,applied,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties,D:\Users\threesecond\OneDrive\Github\Mango_v3_i18n_zh\modules\BACnet\classes\i18n_zh.properties.apply.20250929171324.bak
