module,key,english_value,previous_zh_value
advancedComponents,advancedComponents.description,AngularJS advanced components,
asciiFile,file.desc,Read and Parse ASCII Text files,
cloudConnect,cloudConnect.description,Cloud connect,
controlcore,controlcore.description,TCP/IP to Serial Bridge to allow remote programming of a ISquared Control Core (http://www.isquared.ca) serial device.,
dashboardDesigner,dashboardDesigner.description,Dashboard design tool,
dataPointDetailsView,datapointdetailsview.description,View for Data Point Details,
deviceConfig,deviceConfig.description,Device config and templating,
dnp3,dnp3.description,DNP3 data source,
dnp3,dsEdit.dnp3.synchPeriods,Relative static data poll ratio,
dnp3,dsEdit.dnp3.scanEventsOnSync,Scan all classes on static data poll,
dnp3,dsEdit.dnp3.validate.mustReadOneClass,Must read at least one class of data,
dnp3,dsEdit.dnp3.dataClass,Data class,
dnp3,dsEdit.dnp3.dataClass0,Class 0,
dnp3,dsEdit.dnp3.dataClass1,Class 1,
dnp3,dsEdit.dnp3.dataClass2,Class 2,
dnp3,dsEdit.dnp3.dataClass3,Class 3,
dnp3,dsEdit.dnp3.analogOutputSetVariation,Set value format,
dnp3,dsEdit.dnp3.analogOutput32,32 bit integer,
dnp3,dsEdit.dnp3.analogOutput16,16 bit integer,
dnp3,dsEdit.dnp3.analogOutput32Float,32 bit floating point,
dnp3,dsEdit.dnp3.analogOutput64Float,64 bit floating point,
dnp3,dsEdit.dnp3.8bitIndex,8 bit index,
dnp3,dsEdit.dnp3.16bitIndex,16 bit index,
dnp3,dsEdit.dnp3.indexSize,Index address size,
dnp3,dsEdit.dnp3.multiplier,Multiplier,
dnp3,dsEdit.dnp3.additive,Additive,
dnp3,dsEdit.dnp3.multiplierOffsetCalculator,Multiplier and offset calculator,
dnp3,dsEdit.dnp3.sensorMin,Sensor minimum,
dnp3,dsEdit.dnp3.sensorMax,Sensor maximum,
dnp3,dsEdit.dnp3.engineeringMin,Engineering minimum,
dnp3,dsEdit.dnp3.engineeringMax,Engineering maximum,
dnp3,dsEdit.dnp3.invalidCommand,"Invalid DNP3 Write Command. Valid Commands: 1/0, true/false, pon/poff, lon/loff,close/trip",
dnp3,dsEdit.dnp3.internalIndication,Internal indication received,
dnp3,dsEdit.dnp3.internalIndication.deviceTrouble,Device trouble received,
dnp3,dsEdit.dnp3.internalIndication.codeNotSupported,Code not supported received,
dnp3,dsEdit.dnp3.internalIndication.objectUnknown,Object unknown received,
dnp3,dsEdit.dnp3.internalIndication.parameterError,Parameter error received,
dnp3,dsEdit.dnp3.internalIndication.eventBufferOverflow,Event buffer overflow received,
dnp3,dsEdit.dnp3.internalIndication.configurationCorrupt,Configuration corrupt received,
dnp3,dsEdit.dnp3.controlStatus.timeout,Timeout,
dnp3,dsEdit.dnp3.controlStatus.noSelect,Must select first,
dnp3,dsEdit.dnp3.controlStatus.formatError,Format error,
dnp3,dsEdit.dnp3.controlStatus.notSupported,Not supported,
dnp3,dsEdit.dnp3.controlStatus.alreadyActive,Already active,
dnp3,dsEdit.dnp3.controlStatus.hardwareError,Hardware control error,
dnp3,dsEdit.dnp3.controlStatus.local,Device in local mode,
dnp3,dsEdit.dnp3.controlStatus.tooManyObjs,Too many objects in request,
dnp3,dsEdit.dnp3.controlStatus.notAuthorized,Not authorized,
dnp3,dsEdit.dnp3.controlStatus.automationInhibit,Automation inhibited,
dnp3,dsEdit.dnp3.controlStatus.processingLimited,Station processing limited,
dnp3,dsEdit.dnp3.controlStatus.outOfRange,Out of range,
dnp3,dsEdit.dnp3.controlStatus.notParticipating,Will not perform,
egauge,egauge.desc,eGauge Data Source,
excelReports,completely to import a specific time range.,,
galil,galil-ds.description,Data source for polling and controlling Galil equipment,
internal,internal.description,Status pages and data source that reads internal system data,
jsonFileImport,jsonfile.desc,Ability to import JSON files into Mango as data,
lang_zh,blank,,
lang_zh,common.noMessage,,
lang_zh,dox.dir,,
lang_zh,event.audit.propertyList.0,,
lang_zh,event.audit.recip.list.0,,
log4jDS,log4j.description,Data source to store logging information,
log4JReset,log4JReset.description,Allows the reloading of the log4J configuration file via the system settings page.,
loggingConsole,logging.desc,Page for viewing recent Mango logs,
mangoESConfiguration,mangoesconfiguration.description,System Configuration Module,
MangoIOTools,mangoIOTools.forth.description,Mango IO Tools,
mangoNoSqlDatabase,mangoNoSql.header.icontext,Mango NoSQL,
mangoUI,ui.components.loadMore,Load more ({0} remaining),
mbus,dsEdit.mbus,M Bus,
measurlogicDTSCell,mlogic.desc,DTS Cell Data Source,
mqttClientDataSource,mqtt.description,MQTT,
opcda,opc.description,Data source for OPC DA,
openv4j,dsEdit.openv4j,OpenV4J,
scripting,scripting.description,Data source that gets its values from a schedule-run script.,
serial,serial.description,Serial Data Source,
slackPublisher,slack.description,Publish event and log messages to a Slack channel,
TCPIP,tcpip.description,Data Source to treat specific TCP/IP traffic as a data,
templateConfig,header.templateConfig,Template Configuration Import,
twilio,twilio.desc,Publish Mango data as SMS Message via Twilio,
zwave,dsEdit.zwave,Z-Wave,
