module,key,english,old_zh,translation
abeip,abeip.description,Data source for Allen-Bradley Ethernet/IP devices,Data source for Allen-Bradley Ethernet/IP devices,Allen-Bradley以太網/IP設備的資料來源
abeip,dsEdit.abeip,Allen-Bradley E/IP,Allen-Bradley E/IP,Allen-Bradley E/IP
abeip,dsedit.abeip.properties,Allen-Bradley E/IP properties,Allen-Bradley E/IP properties,Allen-Bradley E/IP屬性
abeip,dsEdit.abeip.dsconn,Host {0},Host {0},主機{0}
abeip,dsEdit.abeip.event.dataSourceException,Data source error,Data source error,資料來源錯誤
abeip,dsEdit.abeip.event.connectTimeout,Connection timeout,Connection timeout,連接逾時
abeip,dsEdit.abeip.event.noSession,PLC session error,PLC session error,PLC會話錯誤
abeip,dsEdit.abeip.event.readFail,Read fail,Read fail,讀取失敗
abeip,dsEdit.abeip.event.writeFail,Write fail,Write fail,寫入失敗
abeip,dsEdit.abeip.event.licenseExceeded,Point count exceeds license allowance,Point count exceeds license allowance,點計數超過授權許可
abeip,dsEdit.abeip.msg.dataSourceException,Data source error,Data source error,資料來源錯誤
abeip,dsEdit.abeip.msg.connectTimeout,Connection timed out,Connection timed out,連接時機
abeip,dsEdit.abeip.msg.noSession,Couldn't get session with PLC,Couldn't get session with PLC,無法與PLC進行會話
abeip,dsEdit.abeip.msg.readFail,Read failed,Read failed,讀取失敗
abeip,dsEdit.abeip.msg.writeFail,Write failed,Write failed,寫入失敗
abeip,dsEdit.abeip.msg.readFailTag,"Read failed, tag: {0}","Read failed, tag: {0}",讀取失敗，標籤：{0}
abeip,dsEdit.abeip.msg.writeFailTag,"Write failed, tag: {0}","Write failed, tag: {0}",寫入失敗，標籤：{0}
abeip,dsEdit.abeip.timeout,Timeout (ms),Timeout (ms),逾時（MS）
abeip,dsEdit.abeip.retries,Retries,Retries,重試
abeip,dsEdit.abeip.hostName,Host name,Host name,主機名
abeip,dsEdit.abeip.portNumber,Port,Port,埠號
abeip,dsEdit.abeip.rackNumber,Rack,Rack,機架
abeip,dsEdit.abeip.slotNumber,Slot,Slot,插槽
abeip,dsEdit.abeip.dpconn,Tag {0},Tag {0},標籤{0}
abeip,dsEdit.abeip.tag,Tag name,Tag name,標籤名稱
abeip,dsEdit.abeip.program,Program name,Program name,程序名稱
abeip,dsEdit.abeip.tagType,Tag type,Tag type,標籤類型
abeip,dsEdit.abeip.multistate,Multistate,Multistate,多層
abeip,dsEdit.abeip.tag_types.bool,BOOL (1 bit),BOOL (1 bit),布爾（1位）
abeip,dsEdit.abeip.tag_types.sint,SINT (8 bit signed integer),SINT (8 bit signed integer),SINT（8位簽名的整數）
