key,english,current_zh,translation
blank,,,
literal,{0},{0},{0}
common.noMessage,,,
common.default,{0},{0},{0}
common.counting.st,{0}st,{0} st,{0} st
common.counting.nd,{0}nd,{0} nd,{0} nd
common.counting.rd,{0}rd,{0} rd,{0} rd
common.counting.th,{0}th,{0} th,{0} th
common.tp.description,{0} {1},{0} {1},{0} {1}
common.durationStd,{0},{0},{0}
dox.dir,,,
ftl.subject.alias,{0} ({1}),{0}（{1}）,{0}（{1}）
ftl.subject.alias.id,{0} ({1}) - id:{2},{0}（{1}） -  ID：{2},{0}（{1}） -  ID：{2}
modules.guid,GUID,GUID,GUID
dsEdit.ebi25,EBI25,EBI25,EBI25
dsEdit.ebi25.unit.ph,pH,ph,ph
dsEdit.serial.flow.rtsCts,RTS/CTS,RTS/CTS,RTS/CTS
dsEdit.serial.flow.xonXoff,Xon/Xoff,XON/XOFF,XON/XOFF
dsEdit.viconics.panId,PAN ID,PAN ID,PAN ID
dsEdit.viconics.ieee,IEEE,IEEE,IEEE
dsEdit.viconics.trss,TRSS,TRS,TRS
dsEdit.viconics.crss,CRSS,CRS,CRS
emport.systemSettings.prefix,''{0}'' : {1},''{0}''：{1},''{0}''：{1}
emport.publisher.prefix,Publisher ''{0}'': {1},Publisher''{0}''：{1},Publisher''{0}''：{1}
events.id,Id,ID,ID
events.search.id,Id,ID,ID
events.ackedByUser,- {0},-  {0},-  {0}
events.export.ackedByUser,{0},{0},{0}
<a href,"""https://www.mozilla.org/firefox/"" target=""_blank"">Mozilla Firefox</a>.",“ https://www.mozilla.org/firefox/” target =“ _ blank”> mozilla firefox </a>。,“ https://www.mozilla.org/firefox/” target =“ _ blank”> mozilla firefox </a>。
systemSettings.upgradeState.beta,Beta,beta,beta
event.audit.changedProperty,"<br/>&nbsp;&nbsp;&nbsp;&nbsp;{0}: ""{1}"" to ""{2}""",<br/>＆nbsp;＆nbsp;＆nbsp;＆nbsp; {0}：“ {1}” to“ {2}”,<br/>＆nbsp;＆nbsp;＆nbsp;＆nbsp; {0}：“ {1}” to“ {2}”
event.audit.property,"<br/>&nbsp;&nbsp;&nbsp;&nbsp;{0}=""{1}""",<br/>＆nbsp;＆nbsp;＆nbsp;＆nbsp; {0} =“ {1}”,<br/>＆nbsp;＆nbsp;＆nbsp;＆nbsp; {0} =“ {1}”
event.audit.propertyList.0,,,
event.audit.propertyList.1,{0},{0},{0}
event.audit.propertyList.2,{0}{1},{0} {1},{0} {1}
event.audit.propertyList.3,{0}{1}{2},{0} {1} {2},{0} {1} {2}
event.audit.propertyList.4,{0}{1}{2}{3},{0} {1} {2} {3},{0} {1} {2} {3}
event.audit.propertyList.5,{0}{1}{2}{3}{4},{0} {1} {2} {3} {4},{0} {1} {2} {3} {4}
