key,english,zh_value,reason
blank,,,empty
literal,{0},{0},same_as_english
common.imageChart,Image chart,Image chart,same_as_english
common.point,Point,Point,same_as_english
common.points,Points,Points,same_as_english
common.remove,Remove,Remove,same_as_english
common.copyPrefix,Copy of {0},Copy of {0},same_as_english
common.set,Set,Set,same_as_english
common.gettingData,Getting data...,Getting data...,same_as_english
common.emailSent,Email was sent to ''{0}'',Email was sent to ''{0}'',same_as_english
common.emailSentToMailingList,Email was sent to mailing list with xid {0},Email was sent to mailing list with xid {0},same_as_english
common.nortn,No RTN,No RTN,same_as_english
common.cronPattern,Cron pattern,Cron pattern,same_as_english
common.noMessage,,,empty
common.default,{0},{0},same_as_english
common.configuration,Configuration,Configuration,same_as_english
common.xid,Export ID (XID),Export ID (XID),same_as_english
common.valueUnreliable,Point value may not be reliable,Point value may not be reliable,same_as_english
common.rendered,Rendered,Rendered,same_as_english
common.validate,Validate,Validate,same_as_english
common.updated,updated,updated,same_as_english
common.discardChangesLong,"You have made changes to '{0}', please press OK to confirm that you want to discard your changes.","You have made changes to '{0}', please press OK to confirm that you want to discard your changes.",same_as_english
common.confirmDelete,Delete?,Delete?,same_as_english
common.confirmDeleteLong,Please press OK to confirm that you want to delete '{0}'.,Please press OK to confirm that you want to delete '{0}'.,same_as_english
common.success,Success,Success,same_as_english
common.confirmDeleteSelected,Please press OK to confirm that you want to delete the selected items.,Please press OK to confirm that you want to delete the selected items.,same_as_english
common.run,Run,Run,same_as_english
common.scheduled,Scheduled,Scheduled,same_as_english
common.rollup,Rollup,Rollup,same_as_english
common.rollup.delta,Delta,Delta,same_as_english
common.rollup.count,Count,Count,same_as_english
common.rollup.start,Start,Start,same_as_english
common.relativeDateType.toDate,To date,To date,same_as_english
common.first,First,First,same_as_english
common.state,State,State,same_as_english
common.processLogs,Process logs,Process logs,same_as_english
common.access.read,read,read,same_as_english
common.dataTypes.multistate,Multistate,Multistate,same_as_english
common.dataTypes.alphanumeric,Alphanumeric,Alphanumeric,same_as_english
common.stats.end,End,End,same_as_english
common.stats.starts,Starts,Starts,same_as_english
common.stats.proportion,Proportion,Proportion,same_as_english
common.stats.max,Maximum,Maximum,same_as_english
common.stats.sum,Sum,Sum,same_as_english
common.stats.delta,Delta,Delta,same_as_english
common.stats.integral,Integral,Integral,same_as_english
common.alarmLevel,Alarm level,Alarm level,same_as_english
common.counting.st,{0}st,{0}st,same_as_english
common.counting.nd,{0}nd,{0}nd,same_as_english
common.counting.rd,{0}rd,{0}rd,same_as_english
common.counting.th,{0}th,{0}th,same_as_english
common.tp.description,{0} {1},{0} {1},same_as_english
common.durationStd,{0},{0},same_as_english
annotation.email.setPointMessage,Email handler {0} script,Email handler {0} script,same_as_english
dox.dir,,,empty
dox.eventDetectors.general,General event detector help,General event detector help,same_as_english
dox.eventDetectors.rateOfChange,Rate of change detector,Rate of change detector,same_as_english
dox.eventDetectors.change,Change detector,Change detector,same_as_english
dox.eventDetectors.noChange,No change detector,No change detector,same_as_english
dox.eventDetectors.noUpdate,No update detector,No update detector,same_as_english
dox.eventDetectors.state,State detector,State detector,same_as_english
dox.eventDetectors.stateChangeCount,State change count detector,State change count detector,same_as_english
dox.eventDetectors.highLimit,High limit detector,High limit detector,same_as_english
dox.eventDetectors.lowLimit,Low limit detector,Low limit detector,same_as_english
dox.eventDetectors.analogChange,Analog Change detector,Analog Change detector,same_as_english
dox.eventDetectors.range,Range detector,Range detector,same_as_english
dox.eventDetectors.positiveCusum,Positive CUSUM detector,Positive CUSUM detector,same_as_english
dox.eventDetectors.negativeCusum,Negative CUSUM detector,Negative CUSUM detector,same_as_english
dox.eventDetectors.smoothness,Smoothness detector,Smoothness detector,same_as_english
dox.spinwaveDS,Spinwave data source,Spinwave data source,same_as_english
dox.eventReport,Alarm Report,Alarm Report,same_as_english
dox.chartServlet,Chart Servlet,Chart Servlet,same_as_english
dox.mangoJavaScript,Java Script,Java Script,same_as_english
dox.threadPoolSettings,Thread pool settings,Thread pool settings,same_as_english
dox.serialSocketBridge,Serial socket bridge,Serial socket bridge,same_as_english
ftl.htmlFooter.mango,Mango Automation,Mango Automation,same_as_english
ftl.subject.alias,{0} ({1}),{0} ({1}),same_as_english
ftl.subject.alias.id,{0} ({1}) - id:{2},{0} ({1}) - id:{2},same_as_english
ftl.passwordReset.body,Visit the following link to reset your password.,Visit the following link to reset your password.,same_as_english
ftl.passwordReset.resetYourPassword,Reset your password,Reset your password,same_as_english
ftl.passwordReset.passwordResetToken,Password reset token:,Password reset token:,same_as_english
ftl.emailVerification.subject,Email verification request from {0},Email verification request from {0},same_as_english
ftl.emailVerification.body,Visit the following link to confirm your email address.,Visit the following link to confirm your email address.,same_as_english
ftl.emailVerification.confirmYourEmail,Confirm your email address,Confirm your email address,same_as_english
ftl.emailVerification.verificationToken,Verification token:,Verification token:,same_as_english
ftl.emailVerification.warningSubject,Email verification warning from {0},Email verification warning from {0},same_as_english
ftl.emailVerification.warningBody,"Someone publicly requested to confirm your email address, only new users should do this via the public api.","Someone publicly requested to confirm your email address, only new users should do this via the public api.",same_as_english
ftl.userApproved.subject,User account for {0} has been approved,User account for {0} has been approved,same_as_english
ftl.userApproved.body,"Your account is active, you can login here {0}","Your account is active, you can login here {0}",same_as_english
modules.guid,GUID,GUID,same_as_english
modules.restartScheduledX,Mango will restart in {0}.,Mango will restart in {0}.,same_as_english
modules.restartScheduledByX,A restart was scheduled by {0}. Mango will restart in {1}.,A restart was scheduled by {0}. Mango will restart in {1}.,same_as_english
modules.restartScheduledByImmediately,A restart was scheduled by {0}. Mango will restart immediately.,A restart was scheduled by {0}. Mango will restart immediately.,same_as_english
modules.versionCheck.notes,(notes),(notes),same_as_english
modules.versionCheck.storeNotSet,"store.url environment property blank, cannot check for updates","store.url environment property blank, cannot check for updates",same_as_english
modules.versionCheck.storeResponseEmpty,Store response was empty,Store response was empty,same_as_english
dsDetils.asof,(as of {0}),(as of {0}),same_as_english
dsEdit.useCron,Use cron,Use cron,same_as_english
dsEdit.cronPattern,Cron pattern,Cron pattern,same_as_english
dsEdit.pointEvent.update,Update,Update,same_as_english
dsEdit.pointEvent.change,Change,Change,same_as_english
dsEdit.pointEvent.logged,Logged,Logged,same_as_english
dsEdit.pointEvent.none,No trigger,No trigger,same_as_english
dsEdit.pointEvent.cron,Cron trigger,Cron trigger,same_as_english
dsEdit.unableToDeleteDueToConstraints,Unable to delete due to database constraints,Unable to delete due to database constraints,same_as_english
dsEdit.events.noEvents,No events for this data source type,No events for this data source type,same_as_english
dsEdit.points.points,Points,Points,same_as_english
dsEdit.validate.required,Required value,Required value,same_as_english
dsEdit.logging.purgeOverride,Override system purge settings,Override system purge settings,same_as_english
dsEdit.logging.purge,Purge,Purge,same_as_english
dsEdit.dataSourceType,Data source type,Data Source Type,no_cjk
dsEdit.dataPointType,Data point type,Data point type,same_as_english
dsEdit.ebi25,EBI25,EBI25,same_as_english
dsEdit.ebi25.desc,EBI25 interface properties,EBI25 interface properties,same_as_english
dsEdit.ebi25.unit.ph,pH,pH,same_as_english
dsEdit.serial.flow.rtsCts,RTS/CTS,RTS/CTS,same_as_english
dsEdit.serial.flow.xonXoff,Xon/Xoff,Xon/Xoff,same_as_english
dsEdit.nmea.dpconn,{0} field {1},{0} field {1},same_as_english
dsEdit.spinwave.listening,Listening...,Listening...,same_as_english
dsEdit.spinwave.address,Address,Address,same_as_english
dsEdit.spinwave.attribute,Attribute,Attribute,same_as_english
dsEdit.viconics.panId,PAN ID,PAN ID,same_as_english
dsEdit.viconics.ieee,IEEE,IEEE,same_as_english
dsEdit.viconics.trss,TRSS,TRSS,same_as_english
dsEdit.viconics.crss,CRSS,CRSS,same_as_english
emport.exportDataPointsAsCsv,Export data points as CSV,Export data points as CSV,same_as_english
emport.dataPoints,Data points,Data points,same_as_english
emport.importInstruction,Paste import data into the field below and click,Paste import data into the field below and click,same_as_english
emport.user.cannotImportCurrentUser,Importing the logged in user is not supported,Importing the logged in user is not supported,same_as_english
emport.userPermission.prefix,Permissions for user ''{0}'': {1},Permissions for user ''{0}'': {1},same_as_english
emport.systemSettings.prefix,''{0}'' : {1},''{0}'' : {1},same_as_english
emport.added,added,added,same_as_english
emport.saved,saved,saved,same_as_english
emport.causedBy,caused by:,caused by:,same_as_english
emport.mailingList.prefix,Mailing list ''{0}'': {1},Mailing list ''{0}'': {1},same_as_english
emport.eventHandler.prefix,Event handler ''{0}'': {1},Event handler ''{0}'': {1},same_as_english
emport.eventDetector.prefix,Event detector ''{0}'': {1},Event detector ''{0}'': {1},same_as_english
emport.publisher.missingType,Publisher with XID ''{0}'' does not already exist and does not have a ''type'' value. Valid types are {1},Publisher with XID ''{0}'' does not already exist and does not have a ''type'' value. Valid types are {1},same_as_english
emport.publisher.invalidType,Publisher with XID ''{0}'' does not already exist and has an invalid ''type'' value of ''{1}''. Valid types are {2},Publisher with XID ''{0}'' does not already exist and has an invalid ''type'' value of ''{1}''. Valid types are {2},same_as_english
emport.publisher.prefix,Publisher ''{0}'': {1},Publisher ''{0}'': {1},same_as_english
emport.pointValues,Point Values,Point Values,same_as_english
emport.pointValue.id,Point Value ID,Point Value ID,same_as_english
emport.dataPoint.xid,Data Point XID,Data Point XID,same_as_english
emport.removed,Removed,Removed,same_as_english
emport.errors,Errors,Errors,same_as_english
emport.filename,Filename,Filename,same_as_english
emport.spreadsheet.nowRows,No rows in sheet: {0},No rows in sheet: {0},same_as_english
emport.spreadsheet.headerLengthIncorrect,"Incorrect header length in sheet ''{0}'', expected {1} but found {2}","Incorrect header length in sheet ''{0}'', expected {1} but found {2}",same_as_english
emport.spreadsheet.headersMismatch,"Header mismatch in sheet ''{0}'' at column {1}, expected ''{2}'' but found ''{3}''","Header mismatch in sheet ''{0}'' at column {1}, expected ''{2}'' but found ''{3}''",same_as_english
emport.spreadsheet.sheetNotFound,Sheet '{0}' not found,Sheet '{0}' not found,same_as_english
emport.spreadsheet.rowError,"Error importing row {0}, {1}","Error importing row {0}, {1}",same_as_english
emport.spreadsheet.modifyCellUnknown,"Invalid text in modify column, 'add' or 'delete' only allowed","Invalid text in modify column, 'add' or 'delete' only allowed",same_as_english
emport.spreadsheet.unsupportedDataType,Unsupported data type: {0},Unsupported data type: {0},same_as_english
emport.spreadsheet.unsupportedCellType,Unsupported cell type in column {0},Unsupported cell type in column {0},same_as_english
emport.spreadsheet.ioError,I/O Error importing data: {0},I/O Error importing data: {0},same_as_english
emport.spreadsheet.notString,Cell ''{0}'' is supposed to be a string,Cell ''{0}'' is supposed to be a string,same_as_english
emport.spreadsheet.notNumberGeneric,Expected cell to be number but didn't exist,Expected cell to be number but didn't exist,same_as_english
eventHandlers.recipTestEmailMessage,This message was sent as a test of an event handler''s email recipient list,This message was sent as a test of an event handler''s email recipient list,same_as_english
eventHandlers.escalTestEmailMessage,This message was sent as a test of an event handler''s escalation list,This message was sent as a test of an event handler''s escalation list,same_as_english
