module,key,old_zh,proposed_translation,action
BACnet,mod.bacnet,BACNET的資料來源和發布者,BACNET的資料來源和發布者,no_change
BACnet,mod.bacnet.dsconn,設備ID：{0},設備ID：{0},no_change
BACnet,mod.bacnet.id,本地設備ID,本地設備ID,no_change
BACnet,mod.bacnet.sendingWhoIs,發送什麼...,發送什麼...,no_change
BACnet,mod.bacnet.getDetails,取得詳細資訊,取得詳細資訊,no_change
BACnet,mod.bacnet.exportObjectList,導出對象列表,導出對象列表,no_change
BACnet,mod.bacnet.addPoint,新增點,新增點,no_change
BACnet,mod.bacnet.presentValue,目前數值,目前數值,no_change
BACnet,mod.bacnet.listenerStopped,監聽器停了下來,監聽器停了下來,no_change
BACnet,mod.bacnet.device,裝置,裝置,no_change
BACnet,mod.bacnet.deviceId,設備ID,設備ID,no_change
BACnet,mod.bacnet.strict,嚴格的設備比較,嚴格的設備比較,no_change
BACnet,mod.bacnet.localNetworkNumber,本地網路號,本地網路號,no_change
BACnet,mod.bacnet.timeout,逾時（MS）,逾時（MS）,no_change
BACnet,mod.bacnet.segmentTimeout,細分逾時（MS）,細分逾時（MS）,no_change
BACnet,mod.bacnet.segmentWindow,段窗口,段窗口,no_change
BACnet,mod.bacnet.retries,重試,重試,no_change
BACnet,mod.bacnet.covLease,COV租賃時間（分鐘）,COV租賃時間（分鐘）,no_change
BACnet,mod.bacnet.discovery,BACNET發現,BACNET發現,no_change
BACnet,mod.bacnet.sendWhoIs,發送whois,發送whois,no_change
BACnet,mod.bacnet.objectList,遠端設備對象列表,遠端設備對象列表,no_change
BACnet,mod.bacnet.sendObjList,發送對象列表請求,發送對象列表請求,no_change
BACnet,mod.bacnet.gettingDeviceDetails,取得設備詳細資訊...,取得設備詳細資訊...,no_change
BACnet,mod.bacnet.remoteDeviceNetworkNumber,網路號,網路號,no_change
BACnet,mod.bacnet.remoteDeviceMac,蘋果,蘋果,no_change
BACnet,mod.bacnet.remoteDeviceInstanceNumber,設備實體號,設備實體號,no_change
BACnet,mod.bacnet.modelName,模型名稱,模型名稱,no_change
BACnet,mod.bacnet.objectName,對象名稱,對象名稱,no_change
BACnet,mod.bacnet.address,地址,地址,no_change
BACnet,mod.bacnet.systemStatus,地位,地位,no_change
BACnet,mod.bacnet.objectType,對像類型,對像類型,no_change
BACnet,mod.bacnet.objectDescription,對象描述,對象描述,no_change
BACnet,mod.bacnet.propertyIdentifier,屬性標識符,屬性標識符,no_change
BACnet,mod.bacnet.reuseAddress,重用地址,重用地址,no_change
BACnet,mod.bacnetMstp.dataTypeSupport,資料類型支持,資料類型支持,no_change
BACnet,mod.bacnet.objectType.accumulator,累加器,累加器,no_change
BACnet,mod.bacnet.objectType.analogInput,類比輸入,類比輸入,no_change
BACnet,mod.bacnet.objectType.analogOutput,類比輸出,類比輸出,no_change
BACnet,mod.bacnet.objectType.analogValue,類比值,類比值,no_change
BACnet,mod.bacnet.objectType.averaging,平均,平均,no_change
BACnet,mod.bacnet.objectType.binaryInput,二進制輸入,二進制輸入,no_change
BACnet,mod.bacnet.objectType.binaryOutput,二進制輸出,二進制輸出,no_change
BACnet,mod.bacnet.objectType.binaryValue,二進制值,二進制值,no_change
BACnet,mod.bacnet.objectType.lifeSafetyPoint,生命安全點,生命安全點,no_change
BACnet,mod.bacnet.objectType.lifeSafetyZone,生命安全區,生命安全區,no_change
BACnet,mod.bacnet.objectType.loop,環形,環形,no_change
BACnet,mod.bacnet.objectType.multiStateInput,多州輸入,多州輸入,no_change
BACnet,mod.bacnet.objectType.multiStateOutput,多狀態輸出,多狀態輸出,no_change
BACnet,mod.bacnet.objectType.multiStateValue,多態值,多態值,no_change
BACnet,mod.bacnet.objectType.pulseConverter,脈沖轉換器,脈沖轉換器,no_change
BACnet,mod.bacnet.objectType.calendar,日曆,日曆,no_change
BACnet,mod.bacnet.objectType.command,命令,命令,no_change
BACnet,mod.bacnet.objectType.device,裝置,裝置,no_change
BACnet,mod.bacnet.objectType.eventEnrollment,事件註冊,事件註冊,no_change
BACnet,mod.bacnet.objectType.file,檔案,檔案,no_change
BACnet,mod.bacnet.objectType.group,團體,團體,no_change
BACnet,mod.bacnet.objectType.notificationClass,通知類,通知類,no_change
BACnet,mod.bacnet.objectType.program,程式,程式,no_change
BACnet,mod.bacnet.objectType.schedule,日程,日程,no_change
BACnet,mod.bacnet.objectType.trendLog,趨勢日誌,趨勢日誌,no_change
BACnet,mod.bacnet.objectType.eventLog,事件日誌,事件日誌,no_change
BACnet,mod.bacnet.objectType.globalGroup,全球小組,全球小組,no_change
BACnet,mod.bacnet.objectType.trendLogMultiple,趨勢日誌多重,趨勢日誌多重,no_change
BACnet,mod.bacnet.objectType.loadControl,負載控制,負載控制,no_change
BACnet,mod.bacnet.objectType.structuredView,結構化視圖,結構化視圖,no_change
BACnet,mod.bacnet.objectType.accessDoor,進入門,進入門,no_change
BACnet,mod.bacnet.objectType.timer,計時器,計時器,no_change
BACnet,mod.bacnet.objectType.accessCredential,存取憑證,存取憑證,no_change
BACnet,mod.bacnet.objectType.accessPoint,存取點,存取點,no_change
BACnet,mod.bacnet.objectType.accessRights,存取權利,存取權利,no_change
BACnet,mod.bacnet.objectType.accessUser,存取用戶,存取用戶,no_change
BACnet,mod.bacnet.objectType.accessZone,存取區,存取區,no_change
BACnet,mod.bacnet.objectType.credentialDataInput,憑證資料輸入,憑證資料輸入,no_change
BACnet,mod.bacnet.objectType.networkSecurity,網路安全,網路安全,no_change
